Inactive,Delete,Internal ID,Number,Account,Type,Description,Currency,Foreign Currency Balance,Balance
No,No,130,14200,Inventory Asset : Inventory In Transit,Other Current Asset,Inventory In Transit,, ,5219702.8
No,No,185,14300,Inventory Asset : WIP,Other Current Asset,WIP,, ,0
No,No,186,14400,Inventory Asset : Finished Goods Inventory,Other Current Asset,Finished Goods Inventory,, ,9342443.29
No,No,187,14500,Inventory Asset : Shipments in Transit,Other Current Asset,Shipments in Transit,, ,0
No,No,188,14600,Inventory Asset : Returned (RMA) Inventory,Other Current Asset,Returned (RMA) Inventory,, ,0
No,No,190,14800,Inventory Asset : Inventory - Manual Adjustments,Other Current Asset,Inventory - Manual Adjustments,, ,0
No,No,1099,14850,Inventory Asset : Capitalized Overhead,Other Current Asset,Capitalized Overhead,, ,2368772.68
No,No,191,14900,Inventory Asset : Inventory Reserves,Other Current Asset,Inventory Reserves,, ,-1009443.54
Yes,No,192,15000,Other Current Assets,Other Current Asset,Other Current Assets,, ,3993581.072
No,No,193,15100,Other Current Assets : Prepaid Expenses,Other Current Asset,Prepaid Expenses,, ,2533480.472
No,No,194,15110,Other Current Assets : Prepaid Rent,Other Current Asset,Prepaid Rent,, ,636677.2
No,No,195,15120,Other Current Assets : Prepaid Insurance,Other Current Asset,Prepaid Insurance,, ,7644
No,No,196,15130,Other Current Assets : Prepaid Deposits,Other Current Asset,Prepaid Deposits,, ,146162.62
No,No,197,15140,Other Current Assets : Clipper Clearing Account,Other Current Asset,Clipper Clearing Account,, ,1917.6
No,No,198,15200,Other Current Assets : Interest Receivable,Other Current Asset,Interest Receivable,, ,0
No,No,112,15300,Other Current Assets : Advances Paid,Other Current Asset,Advances Paid,, ,0
No,No,170,15400,Other Current Assets : AR Clearing,Other Current Asset,AR Clearing,, ,-1055.4
No,No,1110,15450,Other Current Assets : Inter Company Clearing,Other Current Asset,Inter Company Clearing,, ,0
No,No,116,15500,Other Current Assets : Undeposited Funds,Other Current Asset,Undeposited Funds,, ,618147.91
No,No,546,15600,Other Current Assets : Other Current Assets,Other Current Asset,Other Current Assets,, ,50606.67
Yes,No,1090,15700,Other Assets - Taxes,Other Current Asset,Other Assets - Taxes,, ,14007858.73
No,No,1076,15710,Other Assets - Taxes : Prepaid Income Taxes - Federal,Other Current Asset,Prepaid Income Taxes - Federal,, ,0
No,No,1077,15720,Other Assets - Taxes : Prepaid Income Taxes - State,Other Current Asset,Prepaid Income Taxes - State,, ,0
No,No,137,15740,Other Assets - Taxes : VAT on Purchases GB,Other Current Asset,VAT on Purchases,, ,66783.03335
No,No,1013,15741,Other Assets - Taxes : VAT on Purchases SK,Other Current Asset,,, ,9838.7
No,No,1087,15742,Other Assets - Taxes : VAT on Purchases KR,Other Current Asset,,, ,0
No,No,1002,15743,Other Assets - Taxes : GST/HST on Purchases,Other Current Asset,,, ,0
No,No,1078,15750,Other Assets - Taxes : Deferred Tax Assets - Current,Other Current Asset,Deferred Tax Assets - Current,, ,13931237
Yes,No,1094,15800,Other Assets - Clearing,Other Current Asset,Other Assets - Intercompany,, ,0
No,No,125,15890,Other Assets - Clearing : Inventory Returned Not Credited,Other Current Asset,Inventory Returned Not Credited,, ,0
No,No,134,15810,Intercompany Clearing USD,Other Current Asset,Intercompany Clearing USD,USA,"USD$‰Û_46,830.20",46830.2
No,No,139,15820,Intercompany Clearing GBP,Other Current Asset,Intercompany Clearing GBP,British pound,GBPå£‰Û_0.00,0
No,No,1089,15830,Intercompany Clearing KRW,Other Current Asset,Intercompany Clearing KRW,KRW,KRW‰â©‰Û_0,0
No,No,1104,15840,Intercompany Clearing HKD,Other Current Asset,Intercompany Clearing HKD,Hong Kong Dollar,"HKD$‰Û_475,750.00",61317.12
Yes,No,200,16000,Fixed Assets,Fixed Asset,Fixed Assets,, ,12835221.12
No,No,201,16100,Fixed Assets : CIP,Fixed Asset,CIP,, ,116759.57
No,No,202,16200,Fixed Assets : Computers,Fixed Asset,Computers,, ,704249.9427
No,No,203,16210,Fixed Assets : Software,Fixed Asset,Software,, ,628270.55
No,No,204,16220,Fixed Assets : Furniture & Fixtures,Fixed Asset,Furniture & Fixtures,, ,236920.54
No,No,205,16230,Fixed Assets : Office Equipment,Fixed Asset,Office Equipment,, ,38605.91
No,No,206,16240,Fixed Assets : Manufacturing Equipment,Fixed Asset,Manufacturing Equipment,, ,2396171.99
No,No,207,16250,Fixed Assets : Lab and Test Equipment,Fixed Asset,Lab and Test Equipment,, ,770299.41
No,No,208,16260,Fixed Assets : Tooling Equipment,Fixed Asset,Tooling Equipment,, ,7639733.19
No,No,209,16270,Fixed Assets : Leasehold Improvement,Fixed Asset,Leasehold Improvement,, ,284035.75
No,No,210,17200,Fixed Assets : Accum Depreciation - Computers,Fixed Asset,Accum Depreciation - Computers,, ,-259152.9673
No,No,211,17210,Fixed Assets : Accum Depreciation - Software,Fixed Asset,Accum Depreciation - Software,, ,-259701.09
No,No,212,17220,Fixed Assets : Accum Depreciation - F&F,Fixed Asset,Accum Depreciation - F&F,, ,-68773.33
No,No,213,17230,Fixed Assets : Accum Depreciation - Office Equip,Fixed Asset,Accum Depreciation - Office Equip,, ,-18010.61
No,No,214,17240,Fixed Assets : Accum Depreciation - Manufacturing,Fixed Asset,Accum Depreciation - Manufacturing,, ,-756786.64
No,No,215,17250,Fixed Assets : Accum Depreciation - Lab and Test Equip,Fixed Asset,Accum Depreciation - Lab and Test Equip,, ,-189695.93
No,No,216,17260,Fixed Assets : Accum Depreciation - Tooling,Fixed Asset,Accum Depreciation - Tooling,, ,-2787273.83
No,No,217,17270,Fixed Assets : Accum Depreciation - LHI,Fixed Asset,Accum Depreciation - LHI,, ,-173969.64
Yes,No,218,18000,Fixed Assets : Other Long-Term Assets,Fixed Asset,Other Long-Term Assets,, ,4533538.3
No,No,219,18100,Fixed Assets : Other Long-Term Assets : Patents,Fixed Asset,Patents,, ,753613.2
No,No,220,18110,Fixed Assets : Other Long-Term Assets : Patents - Accum Amortization,Fixed Asset,Patents - Accum Amortization,, ,-89912.9
No,No,1079,18800,Fixed Assets : Other Long-Term Assets : Deferred Tax Assets - Non-Current,Fixed Asset,Deferred Tax Assets - Non-Current,, ,3869838
No,No,547,18900,Fixed Assets : Other Long-Term Assets : Other Long-Term Assets,Fixed Asset,Other Long-Term Assets,, ,0
Yes,No,1115,19000,Investment in Subsidiary,Other Asset,Investment in Subsidiary,, ,194123.79
No,No,1116,19100,Investment in Subsidiary : Investment in Subsidiary-Fitbit Limited (UK),Other Asset,Investment in Subsidiary-Fitbit Limited (UK),, ,1.56
No,No,1117,19150,Investment in Subsidiary : Investment in Subsidiary-Fitbit International LLC,Other Asset,Investment in Subsidiary-Fitbit International LLC,, ,100000
No,No,1118,19200,Investment in Subsidiary : Investment in Subsidiary-Fitbit Korea,Other Asset,Investment in Subsidiary-Fitbit Korea,, ,94122.23
No,No,1119,19250,Investment in Subsidiary : Investment in Subsidiary-Hong Kong,Other Asset,Investment in Subsidiary-Hong Kong,, ,0
No,No,113,20000,Accounts Payable,Accounts Payable,Accounts Payable,, ,-47394047.6
No,No,748,20100,Accounts Payable : Accounts Payable - Trade,Accounts Payable,Accounts Payable - Trade,, ,-47391686.14
No,No,1121,20200,Accounts Payable : AP - Held Payments,Accounts Payable,AP - Held Payments,, ,0
Yes,No,848,21000,Intercompany Payables,Accounts Payable,Intercompany Payables,, ,-652330.8741
No,No,850,21100,Intercompany Payables : Inter Company AP,Accounts Payable,Inter Company AP,, ,-652330.8741
Yes,No,240,22000,Other Current Liability,Other Current Liability,Other Current Liability,, ,-39844405.15
No,No,115,20300,Other Current Liability : Inventory Received Not Billed,Other Current Liability,Inventory Received Not Billed,, ,-274152.28
No,No,117,20400,Other Current Liability : Refunds Payable,Other Current Liability,Refunds Payable,, ,0
No,No,235,20500,Other Current Liability : Accrued Expenses,Other Current Liability,Accrued Expenses,, ,-4429270.19
No,No,241,22100,Other Current Liability : Accrued Payroll,Other Current Liability,Accrued Payroll,, ,0
No,No,988,22140,Other Current Liability : Staff Wages Payable (Net),Other Current Liability,Staff Wages Payable (Net),British pound,"GBPå£‰Û_15,682.30",25077.33023
No,No,989,22145,Other Current Liability : Kiddi Vouchers Control,Other Current Liability,Kiddi Vouchers Control,, ,198.2865363
No,No,242,22150,Other Current Liability : Accrued Vacation,Other Current Liability,Accrued Vacation,, ,-15281.31971
No,No,243,22200,Other Current Liability : Accrued Bonus,Other Current Liability,Accrued Bonus,, ,-68442.94751
No,No,244,22300,Other Current Liability : Accrued Sales Commissions,Other Current Liability,Accrued Sales Commissions,, ,-470417.51
No,No,245,22400,Other Current Liability : FSA Medical,Other Current Liability,FSA Medical,, ,-48073.78
No,No,246,23100,Other Current Liability : Warranty Reserve,Other Current Liability,Warranty Reserve,, ,-9245439.22
No,No,247,23200,Other Current Liability : Returns Reserve,Other Current Liability,Returns Reserve,, ,-23704229.59
No,No,248,23300,Other Current Liability : Accrued CO-OP (MDF),Other Current Liability,Accrued CO-OP (MDF),, ,-282252.48
No,No,249,23400,Other Current Liability : Accrued Damage Allowance,Other Current Liability,Accrued Damage Allowance,, ,-41406.93
No,No,250,23500,Other Current Liability : Price Protection Accrual,Other Current Liability,Price Protection Accrual,, ,0
No,No,251,23600,Other Current Liability : Customer Rebate Accrual,Other Current Liability,Customer Rebate Accrual,, ,-763995.7
No,No,970,23900,Other Current Liability : Other Customer Incentives,Other Current Liability,Other Customer Incentives,, ,1876.3
No,No,253,24200,Other Current Liability : Deferred Revenue - Promotions,Other Current Liability,Deferred Revenue - Promotions,, ,-87627.7
No,No,254,24300,Other Current Liability : Deferred Rent,Other Current Liability,Deferred Rent,, ,-433767.54
No,No,255,24400,Other Current Liability : Customer Deposits,Other Current Liability,Customer Deposits,, ,-7199.88
No,No,256,24500,Other Current Liability : Debt - Short Term Portion,Other Current Liability,Debt - Short Term Portion,, ,0
No,No,257,24600,Other Current Liability : Line of Credit,Other Current Liability,Line of Credit,, ,0
No,No,258,24700,Other Current Liability : Interest Payable,Other Current Liability,Interest Payable,, ,0
No,No,1080,24750,Other Current Liability : Deferred Tax Liability - Current,Other Current Liability,Deferred Tax Liability - Current,, ,0
No,No,550,24900,Other Current Liability : Other Current Liability,Other Current Liability,Other Current Liability,, ,0
No,No,126,24100,Deferred Revenue,Deferred Revenue,Deferred Revenue,, ,0
Yes,No,260,26000,Tax Payable,Other Current Liability,Tax Payable,, ,-27161335.08
No,No,261,26100,Tax Payable : Accrued Income Tax Payable - Federal,Other Current Liability,Accrued Income Tax Payable - Federal,, ,-24623219.23
No,No,1081,26110,Tax Payable : Accrued Income Tax Payable - State,Other Current Liability,Accrued Income Tax Payable - State,, ,0
No,No,1082,26120,Tax Payable : Other Business Tax Payable,Other Current Liability,Other Business Tax Payable,, ,-216993.8
No,No,135,26200,Tax Payable : Sales Tax Payable - CA,Other Current Liability,Sales Tax Payable - CA,, ,84248.85
No,No,263,26205,Tax Payable : Sales Tax Payable - FL,Other Current Liability,Sales Tax Payable - FL,, ,51139.03
No,No,264,26210,Tax Payable : Sales Tax Payable - IL,Other Current Liability,Sales Tax Payable - IL,, ,75489.16
No,No,265,26215,Tax Payable : Sales Tax Payable - MA,Other Current Liability,Sales Tax Payable - MA,, ,16684.96
No,No,266,26220,Tax Payable : Sales Tax Payable - PA,Other Current Liability,Sales Tax Payable - PA,, ,12035.84
No,No,267,26225,Tax Payable : Sales Tax Payable - IN,Other Current Liability,Sales Tax Payable - IN,, ,4633.99
No,No,268,26230,Tax Payable : Sales Tax Payable - MN,Other Current Liability,Sales Tax Payable - MN,, ,17884.91
No,No,269,26235,Tax Payable : Sales Tax Payable - TX,Other Current Liability,Sales Tax Payable - TX,, ,80241.29
No,No,270,26240,Tax Payable : Sales Tax Payable - WA,Other Current Liability,Sales Tax Payable - WA,, ,73048.8
No,No,109,26245,Tax Payable : Sales Tax Payable - AL,Other Current Liability,Sales Taxes Payable AL,, ,0
No,No,1001,26295,Tax Payable : Sales Tax Payable - US,Other Current Liability,,, ,-1047149.41
No,No,1128,26300,Tax Payable : Sales Tax Payable - Adj.,Other Current Liability,Sales Tax Payable - Adj.,, ,224.56
No,No,271,26400,Tax Payable : Use Tax Payable,Other Current Liability,Use Tax Payable,, ,0
No,No,272,26500,Tax Payable : VAT Payable,Other Current Liability,VAT Payable,, ,0
No,No,136,26501,Tax Payable : VAT on Sales GB,Other Current Liability,VAT on Sales,, ,-49906.95
No,No,138,26502,Tax Payable : VAT Liability GB,Other Current Liability,VAT Liability,, ,0
No,No,1012,26503,Tax Payable : VAT on Sales SK,Other Current Liability,,, ,0
No,No,1014,26504,Tax Payable : VAT Liability SK,Other Current Liability,,, ,0
No,No,1086,26505,Tax Payable : VAT on Sales KR,Other Current Liability,,, ,0
No,No,1088,26506,Tax Payable : VAT Liability KR,Other Current Liability,,, ,0
No,No,1004,26507,Tax Payable : GST/HST Sales,Other Current Liability,,, ,-1695070.95
No,No,1003,26508,Tax Payable : GST/HST Liability,Other Current Liability,,, ,0
No,No,1129,26510,Tax Payable : GST/HST Sales Adj.,Other Current Liability,GST/HST Sales Adj.,, ,0
No,No,273,26600,Tax Payable : GST Payable - CN,Other Current Liability,GST Payable - CN,, ,55836.99
No,No,274,26700,Tax Payable : State Unemployment Taxes - CA,Other Current Liability,State Unemployment Taxes - CA,, ,0
No,No,275,26705,Tax Payable : State Unemployment Taxes - FL,Other Current Liability,State Unemployment Taxes - FL,, ,-216
No,No,276,26710,Tax Payable : State Unemployment Taxes - IL,Other Current Liability,State Unemployment Taxes - IL,, ,-247.12
Yes,No,1095,27000,Other Long Term Liability,Long Term Liability,Other Long Term Liability,, ,-208543.25
No,No,1083,27800,Other Long Term Liability : Deferred Tax Liability - Non-Current,Long Term Liability,Deferred Tax Liability - Non-Current,, ,-208543.25
No,No,1096,27900,Other Long Term Liability : Other LT Liability,Long Term Liability,Other LT Liability,, ,0
Yes,No,277,28000,Long Term Debt,Long Term Liability,Long Term Debt,, ,-11377160.84
No,No,278,28100,Long Term Debt : Deferred Credit,Long Term Liability,Deferred Credit,, ,-93116.81
No,No,279,28200,Long Term Debt : Debt Discount,Long Term Liability,Debt Discount,, ,533196.08
No,No,280,28300,Long Term Debt : Warrant Value,Long Term Liability,Warrant Value,, ,-665089.01
No,No,281,28400,Long Term Debt : Debt - Long Term Portion,Long Term Liability,Debt - Long Term Portion,, ,0
No,No,282,28510,Long Term Debt : Growth Capital Loan - 001100261,Long Term Liability,Growth Capital Loan - 001100261,, ,-429309.26
No,No,283,28520,Long Term Debt : Growth Capital Loan 00110028690,Long Term Liability,Growth Capital Loan 00110028690,, ,-9000000
No,No,284,28530,Long Term Debt : Growth Capital Loan 00110028812,Long Term Liability,Growth Capital Loan 00110028812,, ,-1836485.24
No,No,1097,28600,Long Term Debt : Deferred Financing Cost,Long Term Liability,Deferred Financing Cost,, ,113643.4
Yes,No,286,30000,Stockholder's Equity,Equity,Stockholder's Equity,, ,-54328406.64
No,No,53,30100,Stockholder's Equity : Opening Balance,Equity,Opening Balance,, ,0
No,No,287,31000,Stockholder's Equity : Common Stock,Equity,Common Stock,, ,-1232.345
No,No,288,32000,Stockholder's Equity : Additional Paid in Capital - Common,Equity,Additional Paid in Capital - Common,, ,-67482094.67
No,No,1084,32800,Stockholder's Equity : Additional Paid in Capital - Tax,Equity,Additional Paid in Capital - Tax,, ,-38361
No,No,289,33100,Stockholder's Equity : Preferred Stock - Series A,Equity,Preferred Stock - Series A,, ,-340
No,No,290,33150,Stockholder's Equity : Issuance Costs - Series A,Equity,Issuance Costs - Series A,, ,4373.21
No,No,291,33200,Stockholder's Equity : Preferred Stock - Series A-1,Equity,Preferred Stock - Series A-1,, ,-745.63
No,No,292,33250,Stockholder's Equity : Issuance Costs - Series A-1,Equity,Issuance Costs - Series A-1,, ,49962.75
No,No,293,33300,Stockholder's Equity : Preferred Stock - Series B,Equity,Preferred Stock - Series B,, ,-1390.18
No,No,294,33350,Stockholder's Equity : Issuance Costs - Series B,Equity,Issuance Costs - Series B,, ,43605.4
No,No,295,33400,Stockholder's Equity : Preferred Stock - Series C,Equity,Preferred Stock - Series C,, ,-1202.67
No,No,296,33450,Stockholder's Equity : Issuance Costs - Series C,Equity,Issuance Costs - Series C,, ,20317.63
No,No,297,33500,Stockholder's Equity : Preferred Stock - Series D,Equity,Preferred Stock - Series D,, ,-971.66
No,No,298,33550,Stockholder's Equity : Issuance Costs - Series D,Equity,Issuance Costs - Series D,, ,188326.73
No,No,299,34000,Stockholder's Equity : Additional Paid in Capital - Preferred,Equity,Additional Paid in Capital - Preferred,, ,0
No,No,551,38000,Stockholder's Equity : Cumulative Translation Adjustment 1,Equity,Cumulative Translation Adjustment 1,, ,0
No,No,52,39000,Stockholder's Equity : Retained Earnings,Equity,Retained Earnings,, ,12891345.79
No,No,143,38001,Cumulative Translation Adjustment-Elimination,Equity,Cumulative Translation Adjustment-Elimination,, ,-182.5
No,No,110,38002,Cumulative Translation Adjustment,Equity,Cumulative Translation Adjustment,, ,0
No,No,302,39500,Net Income,Income,Net Income,, ,0
Yes,No,54,40000,Revenue,Income,Revenue,, ,-392324562.1
No,No,304,40100,Revenue : Product Sales,Income,Product Sales,, ,-444437196.4
No,No,305,40200,Revenue : Premium Service Sales,Income,Premium Service Sales,, ,-4343389.74
No,No,992,40500,Revenue : Inter Company Revenue,Income,Inter Company Revenue,, ,-2529794.162
No,No,971,40800,Revenue : Shipping Income,Income,Shipping Income,, ,-1179245.4
No,No,976,41000,Revenue : Deferred Sales,Income,Deferred Sales,, ,0
No,No,307,41100,Revenue : Deferred Product Sales,Income,Deferred Product Sales,, ,12056406.56
No,No,308,41200,Revenue : Deferred Premium Sales,Income,Deferred Premium Sales,, ,-1940639.19
No,No,310,41900,Revenue : Deferred Web Sales,Income,Deferred Web Sales,, ,3132117.71
Yes,No,977,42000,Revenue : Sales Returns,Income,Sales Returns,, ,34139102.04
No,No,972,42100,Revenue : Sales Returns : Sales Returns - Consumer Direct,Income,Sales Returns - Consumer Direct,, ,5139467.08
No,No,973,42200,Revenue : Sales Returns : Sales Returns - Channel,Income,Sales Returns - Channel,, ,0
No,No,974,42300,Revenue : Sales Returns : Sales Returns - Discrepancy,Income,Sales Returns - Discrepancy,, ,0
No,No,311,42900,Revenue : Sales Returns : Sales Returns - Provision,Income,Sales Returns - Provision,, ,28999634.96
Yes,No,978,45000,Revenue : Customer Deductions,Income,Customer Deductions,, ,12778076.5
No,No,312,45100,Revenue : Customer Deductions : Co-op Advertising,Income,Co-op Advertising,, ,7201169.23
No,No,313,45110,Revenue : Customer Deductions : Defective Allowance,Income,Defective Allowance,, ,1201784.13
No,No,314,45120,Revenue : Customer Deductions : Price Promotion,Income,Price Promotion,, ,235019.36
No,No,315,45130,Revenue : Customer Deductions : Price Protection,Income,Price Protection,, ,13334.66
No,No,316,45140,Revenue : Customer Deductions : Price Incentive / Rebates,Income,Price Incentive / Rebates,, ,2831399.12
No,No,317,45150,Revenue : Customer Deductions : Early Payment Discount,Income,Early Payment Discount,, ,328179.89
No,No,318,45160,Revenue : Customer Deductions : Vendor Non Compliance,Income,Vendor Non Compliance,, ,442005.83
No,No,319,45170,Revenue : Customer Deductions : Credit Card Chargebacks,Income,Credit Card Chargebacks,, ,107282.7
No,No,993,45180,Revenue : Customer Deductions : Shortages,Income,Shortages,, ,-542669.43
No,No,320,45900,Revenue : Customer Deductions : Customer Deductions - Other,Income,Customer Deductions - Other,, ,960571.01
No,No,128,50000,Cost of Revenue,Cost of Goods Sold,Cost of Revenue,, ,195144029
Yes,No,980,51000,Cost of Revenue : Product Cost,Cost of Goods Sold,Product Cost,, ,148586206.4
No,No,322,51100,Cost of Revenue : Product Cost : Standard Product Cost,Cost of Goods Sold,Standard Product Cost,, ,153341308.8
No,No,326,51200,Cost of Revenue : Product Cost : Deferred Cost of Sales,Cost of Goods Sold,Deferred Cost of Sales,, ,-3461698.53
No,No,327,51700,Cost of Revenue : Product Cost : RMA Returns - Unsaleable,Cost of Goods Sold,RMA Returns - Unsaleable,, ,-1622890.52
No,No,328,51800,Cost of Revenue : Product Cost : Freight - RMA Returns,Cost of Goods Sold,Freight - RMA Returns,, ,329486.69
Yes,No,981,52000,Cost of Revenue : Manufacturing Overhead,Cost of Goods Sold,Manufacturing Overhead,, ,17680263.84
No,No,329,52100,Cost of Revenue : Manufacturing Overhead : Manufacturing Expense,Cost of Goods Sold,Manufacturing Expense,, ,3721415.21
No,No,330,52110,Cost of Revenue : Manufacturing Overhead : Applied Overhead - Manufacturing,Cost of Goods Sold,Applied Overhead - Manufacturing,, ,0
No,No,331,52200,Cost of Revenue : Manufacturing Overhead : CM Subcontract Expense,Cost of Goods Sold,CM Subcontract Expense,, ,-145061.24
No,No,332,52300,Cost of Revenue : Manufacturing Overhead : Kitting Expense,Cost of Goods Sold,Kitting Expense,, ,-1202117.53
No,No,333,52400,Cost of Revenue : Manufacturing Overhead : Inbound Freight & Duty Expense,Cost of Goods Sold,Inbound Freight & Duty Expense,, ,11982360.12
No,No,334,52410,Cost of Revenue : Manufacturing Overhead : Applied Overhead - Freight & Duty,Cost of Goods Sold,Applied Overhead - Freight & Duty,, ,0
No,No,853,52700,Cost of Revenue : Manufacturing Overhead : Tooling & Mfg. Equipment Expense,Cost of Goods Sold,Tooling & Mfg. Equipment Expense,, ,660800.64
No,No,854,52710,Cost of Revenue : Manufacturing Overhead : Tooling & Mfg. Equip Depreciation,Cost of Goods Sold,Tooling & Mfg. Equip Depreciation,, ,2662866.64
No,No,1113,52900,Cost of Revenue : Manufacturing Overhead : Mfg Overhead Absorption,Cost of Goods Sold,Mfg Overhead Absorption,, ,0
Yes,No,982,53000,Cost of Revenue : Manufacturing Variances,Cost of Goods Sold,Manufacturing Variances,, ,6120007.33
No,No,339,53100,Cost of Revenue : Manufacturing Variances : Purchase Price Variance,Cost of Goods Sold,Purchase Price Variance,, ,-325230.55
No,No,645,53150,Cost of Revenue : Manufacturing Variances : Invoice Price/Qty Variance,Cost of Goods Sold,Invoice Price/Qty Variance,, ,0
No,No,340,53200,Cost of Revenue : Manufacturing Variances : Work Order Variance,Cost of Goods Sold,Work Order Variance,, ,-12948.22
No,No,341,53250,Cost of Revenue : Manufacturing Variances : Re-Work Variance,Cost of Goods Sold,Re-Work Variance,, ,121236.41
No,No,342,53300,Cost of Revenue : Manufacturing Variances : Inter-plant Transfer Variance,Cost of Goods Sold,Inter-plant Transfer Variance,, ,0
No,No,646,53400,Cost of Revenue : Manufacturing Variances : Return to Vendor (RTV),Cost of Goods Sold,Return to Vendor (RTV) expense,, ,0
No,No,343,53500,Cost of Revenue : Manufacturing Variances : Scrap Expense,Cost of Goods Sold,Scrap Expense,, ,417339.32
No,No,1112,53550,Cost of Revenue : Manufacturing Variances : Other 3PL Variances,Cost of Goods Sold,Other 3PL Variances,, ,5541.33
No,No,344,53600,Cost of Revenue : Manufacturing Variances : Excess & Obsolete Inventory,Cost of Goods Sold,Excess & Obsolete Inventory,, ,19996.01
No,No,647,53700,Cost of Revenue : Manufacturing Variances : Standards Change Adj,Cost of Goods Sold,Standards Change Adj,, ,0
No,No,345,53800,Cost of Revenue : Manufacturing Variances : CC and PI Adjustments,Cost of Goods Sold,CC and PI Adjustments,, ,40259.63
No,No,348,53900,Cost of Revenue : Manufacturing Variances : Provision for Inventory Reserves,Cost of Goods Sold,Provision for Inventory Reserves,, ,4275178.27
No,No,349,53950,Cost of Revenue : Manufacturing Variances : Other Production Costs,Cost of Goods Sold,Other Production Costs,, ,1578635.13
Yes,No,983,57000,Cost of Revenue : Warranty & Customer Support,Cost of Goods Sold,Warranty & Customer Support,, ,12342749.07
No,No,346,57100,Cost of Revenue : Warranty & Customer Support : Warranty Expense - Customer Support,Cost of Goods Sold,Warranty Expense - Customer Support,, ,1986950.97
No,No,347,57900,Cost of Revenue : Warranty & Customer Support : Provision for Warranty Reserves,Cost of Goods Sold,Provision for Warranty Reserves,, ,10355798.1
